Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOUTOR JOSE DO PATROCINIO DA SILVA PONTES,31001767,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS CRUZEIRENSES, 15 MILIONARIOS. 30620-210 Belo Horizonte - MG.",(31) 33815801,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.98171916,-43.99966827
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AUGUSTO DE LIMA,31001783,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DO CONTORNO, 4947 FUNCIONARIOS. 30110-031 Belo Horizonte - MG.",(31) 32213530,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.937315,-43.9251967
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DESEMBARGADOR RODRIGUES CAMPOS,31001791,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SINFRONIO BROCHADO, 355 BARREIRO DE BAIXO. 30640-000 Belo Horizonte - MG.",(31) 33311609,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-19.97614,-44.01581
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE FLAVIO DOS SANTOS,31001805,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JACUI, 1131 CONCORDIA. 31110-050 Belo Horizonte - MG.",(31) 34215164,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.9034416,-43.9329037
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PAULO DAS GRACAS DA SILVA,31001813,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SILVA REIS, 80 BOA VISTA. 31070-230 Belo Horizonte - MG.",(31) 34856855,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.88894,-43.89652
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA MARIA AMELIA GUIMARAES,31001821,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AMARAL, 32 PIRAJA. 31910-330 Belo Horizonte - MG.",(31) 34862333,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.8668239,-43.9183466
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DIOGO DE VASCONCELOS,31001830,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROFESSOR LUIZ POMPEU, 30 DAS INDUSTRIAS. 30610-090 Belo Horizonte - MG.",(31) 33625600,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.95567,-44.01056
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOUTOR ANTONIO AUGUSTO SOARES CANEDO,31001848,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAPIM BRANCO, 157 VISTA ALEGRE. 30518-020 Belo Horizonte - MG.",(31) 33861931,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.95028279,-44.00121159
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GENERAL CARLOS LUIZ GUEDES,31001856,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TIRADENTES, 1153 LINDEIA. 30622-630 Belo Horizonte - MG.",(31) 33879292,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.974915,-44.04542333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BARAO DE MACAUBAS,31001864,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAVI CAMPISTA, 42 FLORESTA. 30150-090 Belo Horizonte - MG.",(31) 32223534,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,,-19.9162485,-43.9288101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DIVINA PROVIDENCIA,31001872,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROFESSORA RUTH PINA, 381 REGINA. 30692-180 Belo Horizonte - MG.",(31) 33853452,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.9816684,-44.0552769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE FRANCISCO MENEZES FILHO,31001881,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAO ANTONIO CARDOSO, 318 OURO PRETO. 31310-390 Belo Horizonte - MG.",(31) 34982530,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-19.87381667,-43.98300833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PEDRO DUTRA,31001899,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA HUMAITA, 1094 PADRE EUSTAQUIO. 30720-410 Belo Horizonte - MG.",(31) 25555875,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-19.9206397,-43.9826035
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA MARIA BELMIRA TRINDADE,31001902,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CLEMENTINA DE JESUS, 99 BONSUCESSO. 30622-460 Belo Horizonte - MG.",(31) 33361041,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atividade Complementar,-19.98960579,-43.9893308
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ADALBERTO FERRAZ,31001911,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA OPERARIO SILVA, 50 SAO GABRIEL. 31980-130 Belo Horizonte - MG.",(31) 34931749,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.8573501,-43.9168874
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE JOAO PAULO I,31001929,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SEBASTIAO RIBEIRO DE ARAUJO, 71 LINDEIA BARREIRO. 30692-267 Belo Horizonte - MG.",(31) 33824109,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.9864903,-44.053371
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PEDRO FRANCA,31001937,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA UM, 705 OLHOS DAGUA. 30390-590 Belo Horizonte - MG.",(31) 32881295,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.9936735,-43.9623052
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BARAO DO RIO BRANCO,31001945,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA GETULIO VARGAS, 1059 FUNCIONARIOS. 30112-020 Belo Horizonte - MG.",(31) 32213356,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.9375114,-43.9333246
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GERALDO TEIXEIRA DA COSTA,31001953,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PADRE TIAGO DE ALMEIDA, 382 CAMARGOS. 30520-440 Belo Horizonte - MG.",(31) 33644562,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.938557,-44.0241533
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE FRANCISCO SALES INSTITUTO DE DEFICIENCIA DA FALA E AUDICAO,31001961,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GUAJAJARAS, 1887 BARRO PRETO. 30180-101 Belo Horizonte - MG.",(31) 32954903,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.9227305,-43.9517749
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PEDRO II,31001970,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PROFESSOR ALFREDO BALENA, 523 CENTRO. 30130-100 Belo Horizonte - MG.",(31) 34858668,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.9262927,-43.9304007
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA NAIR DE OLIVEIRA SANTANA,31001988,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CARLOS SCHETTINO, 735 NOVA GAMELEIRA. 30510-270 Belo Horizonte - MG.",(31) 33863335,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.94337206,-43.99752459
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO DE EDUCACAO DE MINAS GERAIS,31001996,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PERNAMBUCO, 47 ANDAR. FUNCIONARIOS. 30130-150 Belo Horizonte - MG.",(31) 32737511,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.9277594,-43.9325904
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BENJAMIM GUIMARAES,31002003,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ITAPAGIPE, 622 CONCORDIA. 31110-590 Belo Horizonte - MG.",(31) 34444863,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.9026258,-43.93484
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GERALDINA SOARES,31002011,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BONINAS, 517 ESPLANADA. 30280-220 Belo Horizonte - MG.",(31) 34611744,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.90605,-43.90489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR RICARDO DE SOUZA CRUZ,31002020,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GONCALO LACO, 120 NOVA ESPERANCA. 31230-350 Belo Horizonte - MG.",(31) 34117010,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.9028371,-43.9591202
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GERALDO JARDIM LINHARES,31002054,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JAYME SALES, 278 MADRE GERTRUDES. 30518-320 Belo Horizonte - MG.",(31) 33862485,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.9492344,-44.00634164
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ISABEL DA SILVA POLCK,31002071,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA NELSON LEMOS DE CARVALHO, 198 PALMARES. 31160-590 Belo Horizonte - MG.",(31) 34266113,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.8710252,-43.93032
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BERNARDO MONTEIRO,31002089,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA DOUTOR CARLOS MARQUES, 0 CALAFATE. 30411-320 Belo Horizonte - MG.",(31) 33716259,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-19.92380887,-43.96824148
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SAGRADA FAMILIA I,31002101,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA AMALIA, 258 NOVA VISTA. 31070-290 Belo Horizonte - MG.",(31) 34850075,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.88568932,-43.89360753
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BRITALDO SOARES FERREIRA DINIZ,31002127,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PIRACEMA, 331 SUZANA. 31260-430 Belo Horizonte - MG.",(31) 38898977,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.86342,-43.93406
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GOVERNADOR MILTON CAMPOS,31002135,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FERNANDES TOURINHO, 1020 SANTO ANTONIO. 30112-000 Belo Horizonte - MG.",(31) 32238932,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-19.93712,-43.94447
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SAGRADA FAMILIA II,31002143,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CELIA DE SOUZA, 600 SAGRADA FAMILIA. 31030-500 Belo Horizonte - MG.",(31) 34828741,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-19.90545,-43.92544
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PADRE JOAO BOSCO PENIDO BURNIER,31002151,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS PERPETUAS, 79 LINDEIA. 30690-270 Belo Horizonte - MG.",(31) 33879077,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.9743704,-44.0471324
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SANDOVAL DE AZEVEDO,31002186,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA POUSO ALEGRE, 2382 SANTA TEREZA. 31010-514 Belo Horizonte - MG.",(31) 34611106,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.91207,-43.91756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA MARIA CECILIA DE MELO,31002194,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA JOANA TAVARES, 71 GOIANIA. 31950-090 Belo Horizonte - MG.",(31) 34862344,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.87324,-43.8987
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MENINO JESUS DE PRAGA,31002208,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE SABINO MACIEL, 290 LAGOA. 31578-060 Belo Horizonte - MG.",(31) 34595587,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-19.8105221,-43.9998605
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ANTENOR PESSOA,31002216,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SESSENTA E OITO, 154 JARDIM DOS COMERCIARIOS. 31650-095 Belo Horizonte - MG.",(31) 34550344,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.7865119,-43.9703505
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PADRE LEBRET,31002224,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO BENEDITO, 123 SAO JOAO BATISTA. 31515-050 Belo Horizonte - MG.",(31) 34575731,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.8186589,-43.9566919
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AFONSO PENA MASCARENHAS,31002232,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ODETE RODRIGUES DE OLIVEIRA, 180 JARDIM DOS COMERCIARIOS. 31640-065 Belo Horizonte - MG.",(31) 34586241,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.7990338,-43.9744286
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PASCHOAL COMANDUCCI,31002241,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAO NASCIMENTO PIRES, 240 JAQUELINE. 31748-315 Belo Horizonte - MG.",(31) 34542585,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.80171,-43.93616
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AFRANIO DE MELO FRANCO,31002259,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS COMANCHES, 678 SANTA MONICA. 31530-250 Belo Horizonte - MG.",(31) 34522170,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.8285009,-43.982597
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PEDRO PAULO PENIDO,31002267,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RONAN SOARES, 40 FLORAMAR. 31840-380 Belo Horizonte - MG.",(31) 34346810,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.8389239,-43.9308255
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR ALBERTO MAZONI ANDRADE,31002283,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA OSCAR LOBO PEREIRA, 390 VILA MINASLANDIA. 31812-070 Belo Horizonte - MG.",(31) 39955820,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-19.85910698,-43.92770958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ANTONIO CLEMENTE,31002291,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOUTOR BENEDITO XAVIER, 1975 AARAO REIS. 31810-540 Belo Horizonte - MG.",(31) 34451495,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.8475707,-43.9205373
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR BOLIVAR DE FREITAS,31002305,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE PINTO DE MOURA, 395 JARDIM GUANABARA. 31742-324 Belo Horizonte - MG.",(31) 34353051,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.8253917,-43.9366922
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ARI DA FRANCA,31002313,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MINISTRO OLIVEIRA SALAZAR, 1057 SANTA MONICA. 31520-400 Belo Horizonte - MG.",(31) 34521400,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.8126879,-43.9774731
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR JOAO CAMARA,31002321,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA JOAO VIANA, 142 RIO BRANCO. 31530-580 Belo Horizonte - MG.",(31) 34523020,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.8208417,-43.9806514
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SIRIA MARQUES DA SILVA,31002330,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA INGLATERRA, 410 JARDIM LEBLON. 31540-360 Belo Horizonte - MG.",(31) 34523600,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-19.82958751,-43.98687207
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA INES GERALDA DE OLIVEIRA,31002348,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA MARTINS, 550 CELESTINO. 31744-590 Belo Horizonte - MG.",(31) 34542600,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.81574167,-43.94129667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DEPUTADO ALVARO SALLES,31002356,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CARLOS LACERDA, 350 TREVO. 31545-170 Belo Horizonte - MG.",(31) 34966605,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.8356761,-44.011013
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SANTOS DUMONT,31002364,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALCIDES LINS, 502 VENDA NOVA. 31510-030 Belo Horizonte - MG.",(31) 34514761,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-19.8172443,-43.9575952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CELMAR BOTELHO DUARTE,31002372,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BELO ORIENTE, 845 PROVIDENCIA. 31814-100 Belo Horizonte - MG.",(31) 34333732,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.8567177,-43.9244888
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SAO PEDRO E SAO PAULO,31002381,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ESTELA, 22 PIRATININGA. 31573-490 Belo Horizonte - MG.",(31) 34523185,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.81606,-43.9904
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ORONCIO MURGEL DUTRA,31002399,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO LUIZ, 401 SAO TOMAZ. 31741-125 Belo Horizonte - MG.",(31) 34279250,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.8424057,-43.9517035
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE TRES PODERES,31002402,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PORTUGAL, 4095 ITAPOA. 31710-400 Belo Horizonte - MG.",(31) 34414067,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.84234697,-43.96352834
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DEPUTADO MANOEL COSTA,31002411,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA HORACIO TERENA GUIMARAES, 495 CEU AZUL. 31585-000 Belo Horizonte - MG.",(31) 34961078,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.8263721,-44.0093901
