Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PACAJA,31362115,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CACHOEIRINHA, 915 SANTA CRUZ. 31150-260 Belo Horizonte - MG.",(31) 989798491,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.88161667,-43.945995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL UNIVERSITARIO,31362123,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ARISTOTELES RIBEIRO VASCONCELOS, 40 SANTA ROSA. 31255-650 Belo Horizonte - MG.",(31) 32463000,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.86555,-43.94206167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL VILA ESTRELA,31362131,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRIMAVERA, 60 SANTO ANTONIO. 30330-260 Belo Horizonte - MG.",(31) 32466655,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.94209,-43.94308333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SANTA ROSA,31362140,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CALDAS DA RAINHA, 527 SAO FRANCISCO. 31255-180 Belo Horizonte - MG.",(31) 32468059,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.87130082,-43.9514006
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL POMPEIA,31362158,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BELEM, 1800 POMPEIA. 30285-010 Belo Horizonte - MG.",(31) 32468508,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.91668,-43.90289
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SAO MARCOS,31362166,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTO ALBERTO, 10 FERNAO DIAS. 31920-540 Belo Horizonte - MG.",(31) 32776679,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.87144,-43.91384
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SARANDI,31362174,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DEPUTADO AUGUSTO GONCALVES, 150 SERRANO. 30882-660 Belo Horizonte - MG.",(31) 32463035,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.87499789,-44.01375937
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SERRA VERDE,31362190,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE MACHADO RIBEIRO, 94 CENACULO. 31615-170 Belo Horizonte - MG.",(31) 989798758,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.80383,-43.96153
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ALTO VERA CRUZ,31362204,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FOSFORO, 75 TAQUARIL. 30290-035 Belo Horizonte - MG.",(31) 32468548,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.91831,-43.88823
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ITAIPU,31362212,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TINGUI, 221 CDI JATOBA. 30662-408 Belo Horizonte - MG.",(31) 32462142,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.99481757,-44.04309282
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL URCA CONFISCO,31362220,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA EXPEDICIONARIO PAULO DE SOUZA, 701 CONFISCO. 31360-395 Belo Horizonte - MG.",(31) 32463025,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.86774261,-44.01581951
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL XODO MARISE,31362239,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA HUMBERTO LAVALLE, 91 XODOMARIZE. 31744-425 Belo Horizonte - MG.",(31) 32469007,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.82098147,-43.93862072
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL JARDIM LEBLON,31362247,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SILVA XAVIER, 15 JARDIM LEBLON. 31540-400 Belo Horizonte - MG.",(31) 32469038,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-19.82683,-43.98533
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL JARDIM VITORIA,31362581,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LOURDES GONCALVES BARBOSA, 160 JARDIM VITORIA. 31970-626 Belo Horizonte - MG.",(31) 989798495,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.85754,-43.87216
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO INTERESCOLAR DE CULTURA ARTE LINGUAGENS E TECNOLOGIAS,31364932,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTO AGOSTINHO, 1441 HORTO. 31035-490 Belo Horizonte - MG.",(31) 36541108,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.8967631,-43.9152935
